日期,收盘,开盘,高,低,交易量,涨跌幅
2011年12月11日,3.2,3,3.4,3,329.70K,4.92%
2011年12月18日,3.9,3.2,4.5,3.2,478.62K,23.12%
2011年12月25日,4.7,3.9,5,3.8,457.49K,19.80%
2012年1月1日,6.8,4.7,7.2,4.6,1.02M,44.28%
2012年1月8日,6.8,6.8,7.2,5.8,757.50K,-0.88%
2012年1月15日,6.2,6.8,7.2,4.6,871.36K,-8.44%
2012年1月22日,5.6,6.2,6.4,5.1,560.59K,-8.90%
2012年1月29日,5.9,5.6,6.2,5.3,387.00K,4.26%
2012年2月5日,5.6,5.9,6,5.3,720.25K,-4.60%
2012年2月12日,4.2,5.6,5.8,3.9,1.08M,-24.64%
2012年2月19日,4.8,4.2,5.2,4.2,595.59K,13.03%
2012年2月26日,4.6,4.8,5.1,4.5,403.66K,-3.35%
2012年3月4日,4.8,4.6,5.1,4.6,334.24K,4.77%
2012年3月11日,5.2,4.8,5.4,4.8,367.60K,8.07%
2012年3月18日,4.7,5.2,5.3,4.5,475.80K,-10.34%
2012年3月25日,4.9,4.7,4.9,4.3,365.42K,4.91%
2012年4月1日,4.7,4.9,5.1,4.7,419.10K,-4.48%
2012年4月8日,5,4.7,5,4.6,404.72K,5.76%
2012年4月15日,5.3,5,5.5,4.9,385.95K,6.05%
2012年4月22日,5,5.3,5.3,4.8,367.93K,-5.32%
2012年4月29日,5.1,5,5.2,4.9,308.53K,2.01%
2012年5月6日,4.9,5.1,5.1,4.8,326.60K,-2.56%
2012年5月13日,5.1,4.9,5.1,4.9,282.77K,3.03%
2012年5月20日,5.1,5.1,5.2,5.1,220.54K,0.00%
2012年5月27日,5.3,5.1,5.3,5,243.86K,2.94%
2012年6月3日,5.6,5.3,5.7,5.2,327.56K,5.90%
2012年6月10日,6.4,5.6,6.6,5.4,379.76K,15.11%
2012年6月17日,6.4,6.4,6.8,6,332.47K,0.00%
2012年6月24日,6.7,6.4,6.7,6.2,277.01K,4.04%
2012年7月1日,6.8,6.7,6.9,6.4,284.01K,1.05%
2012年7月8日,7.5,6.8,7.9,6.7,337.91K,11.54%
2012年7月15日,8.9,7.5,9.7,7.3,789.95K,17.37%
2012年7月22日,8.9,8.9,9.2,7.8,357.35K,0.00%
2012年7月29日,11,8.9,11.3,8.7,442.24K,23.51%
2012年8月5日,11.5,11,12,10.1,379.16K,4.83%
2012年8月12日,11.6,11.5,15.4,10.6,591.64K,0.87%
2012年8月19日,10.5,11.6,11.6,7.6,759.29K,-9.39%
2012年8月26日,10,10.5,12.1,9.7,432.01K,-5.23%
2012年9月2日,11,10,11.3,9.7,270.47K,10.73%
2012年9月9日,11.8,11,11.8,10.8,260.01K,6.43%
2012年9月16日,12.2,11.8,12.7,11.7,223.13K,4.17%
2012年9月23日,12.4,12.2,12.5,11.6,175.00K,0.98%
2012年9月30日,12.5,12.4,13.1,12.3,210.29K,1.21%
2012年10月7日,11.9,12.5,12.6,10.6,289.17K,-5.20%
2012年10月14日,11.7,11.9,12,11.4,181.90K,-1.01%
2012年10月21日,10.3,11.7,12,9.7,354.68K,-12.61%
2012年10月28日,10.6,10.3,11.3,10.3,218.24K,3.70%
2012年11月4日,10.9,10.6,11.2,10.5,151.53K,2.35%
2012年11月11日,11.8,10.9,11.8,10.7,202.40K,8.26%
2012年11月18日,12.4,11.8,12.5,11.6,184.00K,5.26%
2012年11月25日,12.6,12.4,12.7,11.9,189.37K,1.21%
2012年12月2日,13.4,12.6,13.7,12.4,226.35K,6.85%
2012年12月9日,13.5,13.4,13.9,13,228.09K,0.52%
2012年12月16日,13.4,13.5,13.7,12.8,241.51K,-0.89%
2012年12月23日,13.4,13.4,13.7,13,139.46K,0.00%
2012年12月30日,13.4,13.4,13.6,13.2,142.19K,0.00%
2013年1月6日,14.2,13.4,14.4,13.4,228.80K,5.95%
2013年1月13日,15.6,14.2,16,13.9,313.71K,9.69%
2013年1月20日,17.9,15.6,19.2,15.4,485.49K,14.47%
2013年1月27日,19.6,17.9,21.4,17.2,442.23K,9.79%
2013年2月3日,23.6,19.6,24,19.4,318.71K,20.48%
2013年2月10日,27.2,23.6,27.6,21.7,466.62K,15.10%
2013年2月17日,29.8,27.2,31.3,25,417.66K,9.48%
2013年2月24日,34.3,29.8,34.9,29.2,327.36K,14.93%
2013年3月3日,46.8,34.3,49.1,33.3,520.06K,36.79%
2013年3月10日,47,46.8,48.5,36.7,384.32K,0.32%
2013年3月17日,64.3,47,74.9,46.8,602.06K,36.91%
2013年3月24日,92.2,64.3,95.7,62.7,511.38K,43.26%
2013年3月31日,142.6,92.2,147,91,520.93K,54.71%
2013年4月7日,93,142.6,266,54.3,1.38M,-34.80%
2013年4月14日,126.6,93,136.4,50,1.81M,36.15%
2013年4月21日,128,126.6,166.4,110,876.87K,1.09%
2013年4月28日,112.9,128,149.1,79,956.24K,-11.80%
2013年5月5日,115.6,112.9,124.9,97.5,568.14K,2.43%
2013年5月12日,123.2,115.6,125.6,103,399.53K,6.55%
2013年5月19日,132,123.2,134,119.5,157.31K,7.13%
2013年5月26日,129.3,132,136,124,159.87K,-2.04%
2013年6月2日,107.9,129.3,130.1,106.2,273.71K,-16.56%
2013年6月9日,99.8,107.9,112.3,88,336.61K,-7.50%
2013年6月16日,108.2,99.8,115,98.9,190.47K,8.42%
2013年6月23日,95,108.2,110,92.3,234.92K,-12.20%
2013年6月30日,69.7,95,98.2,65.4,358.77K,-26.67%
2013年7月7日,98.3,69.7,104.2,66.6,366.12K,41.14%
2013年7月14日,89.8,98.3,101.9,86.2,177.26K,-8.65%
2013年7月21日,94.4,89.8,97.5,88,105.87K,5.10%
2013年7月28日,104.9,94.4,111.7,94,191.74K,11.18%
2013年8月4日,103,104.9,107.8,101,82.99K,-1.86%
2013年8月11日,112.8,103,115,102.7,139.76K,9.47%
2013年8月18日,119.6,112.8,125,111.8,160.00K,6.08%
2013年8月25日,141,119.6,148.7,119.1,170.74K,17.89%
2013年9月1日,129,141,148.9,121.3,130.89K,-8.52%
2013年9月8日,136.7,129,145.9,124,137.01K,5.98%
2013年9月15日,134.4,136.7,142.2,131,73.34K,-1.70%
2013年9月22日,142.5,134.4,143,131,77.32K,6.04%
2013年9月29日,136.7,142.5,145.8,109.7,212.39K,-4.07%
2013年10月6日,142.9,136.7,143.1,134.1,64.32K,4.53%
2013年10月13日,183.1,142.9,195.8,141.5,201.72K,28.18%
2013年10月20日,188.6,183.1,233.4,175.3,254.87K,2.95%
2013年10月27日,211.7,188.6,216.5,188.9,63.77K,12.27%
2013年11月3日,367.8,211.7,395,212.1,294.92K,73.74%
2013年11月10日,462,367.8,476.9,290,228.96K,25.60%
2013年11月17日,832.5,462,900.9,453.3,379.68K,80.21%
2013年11月24日,"1,205.70",832.5,"1,241.90",745.2,213.00K,44.82%
2013年12月1日,697,"1,205.70","1,239.90",576,362.23K,-42.19%
2013年12月8日,908.9,697,"1,067.70",653,144.17K,30.40%
2013年12月15日,640.5,908.9,927.9,454.9,293.97K,-29.54%
2013年12月22日,762,640.5,836.8,615,93.74K,18.97%
2013年12月29日,924.7,762,932.2,735,74.20K,21.35%
2014年1月5日,"1,005.30",924.7,"1,093.40",858.9,113.16K,8.72%
2014年1月12日,905.7,"1,005.30","1,022.70",867.2,52.66K,-9.91%
2014年1月19日,961,905.7,980.5,901.9,45.70K,6.11%
2014年1月26日,940.4,961,"1,038.10",909.5,51.59K,-2.15%
2014年2月2日,648.8,940.4,959.6,632.1,107.92K,-31.01%
2014年2月9日,371.1,648.8,700,302.2,243.42K,-42.80%
2014年2月16日,255.6,371.1,540,91.7,474.94K,-31.12%
2014年2月23日,557.4,255.6,650,102.3,166.11K,118.08%
2014年3月2日,609.2,557.4,695.4,541.5,11.29K,9.30%
2014年3月9日,624,609.2,640.8,594.7,21.08K,2.43%
2014年3月16日,564.3,624,627.3,537.2,25.94K,-9.57%
2014年3月23日,477.1,564.3,575.4,453.8,27.56K,-15.46%
2014年3月30日,456.6,477.1,487.4,386.7,24.11K,-4.29%
2014年4月6日,437.6,456.6,485.1,355.7,29.33K,-4.16%
2014年4月13日,506,437.6,549,409.9,53.39K,15.62%
2014年4月20日,457.9,506,524.7,438.3,43.03K,-9.52%
2014年4月27日,438.6,457.9,464.5,420.8,29.46K,-4.20%
2014年5月4日,451.9,438.6,459.5,420.2,20.89K,3.02%
2014年5月11日,452.8,451.9,455.9,429,13.76K,0.20%
2014年5月18日,520.5,452.8,540.9,437.3,14.84K,14.95%
2014年5月25日,627.9,520.5,629,520.5,26.11K,20.65%
2014年6月1日,651.7,627.9,676.5,602.1,28.41K,3.78%
2014年6月8日,583.4,651.7,663,563.7,31.06K,-10.47%
2014年6月15日,597,583.4,614.4,560.8,24.28K,2.33%
2014年6月22日,597.6,597,610.1,565.8,21.33K,0.09%
2014年6月29日,623,597.6,652.5,593.2,26.47K,4.25%
2014年7月6日,635.9,623,638.6,607.3,21.67K,2.08%
2014年7月13日,627,635.9,638.6,610,21.18K,-1.39%
2014年7月20日,596,627,628.8,593.3,24.42K,-4.95%
2014年7月27日,591.7,596,604,564,31.26K,-0.72%
2014年8月3日,589.5,591.7,608.2,580.6,18.80K,-0.37%
2014年8月10日,522,589.5,596.6,483.2,31.57K,-11.45%
2014年8月17日,497.7,522,537.2,450,35.33K,-4.66%
2014年8月24日,506,497.7,527.4,496.8,23.33K,1.66%
2014年8月31日,484.5,506,508.3,470.5,44.41K,-4.25%
2014年9月7日,478.2,484.5,491,467.5,44.00K,-1.30%
2014年9月14日,411.5,478.2,480.3,386.1,62.05K,-13.94%
2014年9月21日,399,411.5,445.5,394.5,99.72K,-3.04%
2014年9月28日,335.3,399,402.3,327.1,123.42K,-15.96%
2014年10月5日,361.2,335.3,384.6,294.9,200.89K,7.72%
2014年10月12日,390.9,361.2,407.7,352.3,132.96K,8.21%
2014年10月19日,346.7,390.9,394.5,341.5,89.27K,-11.30%
2014年10月26日,325.4,346.7,356.8,320.7,87.78K,-6.14%
2014年11月2日,343.5,325.4,351.6,319.8,95.14K,5.56%
2014年11月9日,374.9,343.5,480.5,341.8,197.01K,9.12%
2014年11月16日,352,374.9,412.3,343.8,147.31K,-6.10%
2014年11月23日,376.3,352,395.7,352.6,246.59K,6.89%
2014年11月30日,376.3,376.3,384.9,366.2,146.15K,0.00%
2014年12月7日,348.2,376.3,377.9,337.8,200.16K,-7.45%
2014年12月14日,330.4,348.2,351.6,303.4,266.58K,-5.14%
2014年12月21日,315.3,330.4,339.3,312,161.65K,-4.54%
2014年12月28日,287.1,315.3,322.8,284.9,158.96K,-8.95%
2015年1月4日,273.4,287.1,296.1,255.9,252.20K,-4.80%
2015年1月11日,199.6,273.4,278,157.3,536.80K,-26.96%
2015年1月18日,248.2,199.6,248.9,192.5,277.73K,24.30%
2015年1月25日,218.5,248.2,310.9,216.5,414.80K,-11.95%
2015年2月1日,227.7,218.5,247.5,209.7,331.42K,4.20%
2015年2月8日,258.6,227.7,261.3,214.4,574.78K,13.60%
2015年2月15日,244.4,258.6,264.6,226.6,703.12K,-5.50%
2015年2月22日,254.1,244.4,258.7,231.3,479.59K,3.95%
2015年3月1日,274.9,254.1,287.1,244.8,719.39K,8.21%
2015年3月8日,281.6,274.9,301,271.3,720.71K,2.43%
2015年3月15日,259.7,281.6,294,247,662.73K,-7.77%
2015年3月22日,252,259.7,271,234.8,627.70K,-2.96%
2015年3月29日,252.9,252,256.5,236.6,489.10K,0.35%
2015年4月5日,236.5,252.9,261.5,231.3,458.58K,-6.49%
2015年4月12日,223.4,236.5,237.5,214.3,518.95K,-5.55%
2015年4月19日,226.1,223.4,238.4,221.6,382.29K,1.25%
2015年4月26日,235.3,226.1,242.6,214.1,560.49K,4.07%
2015年5月3日,241.4,235.3,247.9,228.2,547.71K,2.57%
2015年5月10日,236.2,241.4,244.8,232.4,369.77K,-2.14%
2015年5月17日,238.9,236.2,242,231.3,325.28K,1.15%
2015年5月24日,233.2,238.9,242.4,231.6,258.05K,-2.39%
2015年5月31日,224.7,233.2,234,221,364.19K,-3.64%
2015年6月7日,232.5,224.7,233.1,222.2,327.87K,3.44%
2015年6月14日,245,232.5,258.5,232.1,554.57K,5.38%
2015年6月21日,250.7,245,251.6,239.1,290.96K,2.35%
2015年6月28日,260.5,250.7,268.7,246.6,430.54K,3.92%
2015年7月5日,292,260.5,298.8,257.6,437.97K,12.06%
2015年7月12日,274,292,315.9,243.2,626.53K,-6.14%
2015年7月19日,288.7,274,291.2,271.8,319.49K,5.36%
2015年7月26日,280.5,288.7,296.7,276.3,333.87K,-2.86%
2015年8月2日,258.6,280.5,285.7,257.4,323.31K,-7.80%
2015年8月9日,260.5,258.6,271.5,258.6,361.86K,0.74%
2015年8月16日,229.5,260.5,261.9,214.3,680.08K,-11.89%
2015年8月23日,228.5,229.5,234.8,196.3,723.79K,-0.45%
2015年8月30日,233.7,228.5,235.6,224.2,383.82K,2.26%
2015年9月6日,235.6,233.7,246.4,233.3,419.16K,0.83%
2015年9月13日,231.1,235.6,242.8,225.1,357.82K,-1.91%
2015年9月20日,234.3,231.1,237.6,224.1,375.71K,1.38%
2015年9月27日,238.6,234.3,240.4,231.8,352.36K,1.83%
2015年10月4日,245.4,238.6,277.6,236.4,358.23K,2.84%
2015年10月11日,269.6,245.4,275.4,243.1,495.94K,9.88%
2015年10月18日,282.6,269.6,283,259.5,468.08K,4.81%
2015年10月25日,311.2,282.6,334.9,279.6,810.63K,10.15%
2015年11月1日,385.1,311.2,492.8,304.7,1.90M,23.73%
2015年11月8日,331.8,385.1,389.8,292.4,1.03M,-13.85%
2015年11月15日,324.7,331.8,342.9,309.5,593.42K,-2.13%
2015年11月22日,355.8,324.7,368.9,315.5,578.86K,9.59%
2015年11月29日,386.7,355.8,390.3,347.2,664.46K,8.67%
2015年12月6日,432.3,386.7,467.7,381.7,908.49K,11.79%
2015年12月13日,461.2,432.3,466.1,420.8,784.64K,6.69%
2015年12月20日,415.4,461.2,462.8,400.5,703.13K,-9.94%
2015年12月27日,433.7,415.4,438,406.1,420.60K,4.42%
2016年1月3日,448.3,433.7,462.9,423.1,457.61K,3.36%
2016年1月10日,385,448.3,451.1,350.4,735.95K,-14.11%
2016年1月17日,388.6,385,425.7,373.2,688.23K,0.93%
2016年1月24日,377.8,388.6,405.4,363.5,484.64K,-2.79%
2016年1月31日,376.7,377.8,391.8,365.3,465.80K,-0.29%
2016年2月7日,390.1,376.7,392.6,371.4,420.40K,3.56%
2016年2月14日,440.1,390.1,442.7,390.1,559.58K,12.81%
2016年2月21日,431.3,440.1,447.6,410.4,466.28K,-1.99%
2016年2月28日,399,431.3,441.3,386.9,528.15K,-7.49%
2016年3月6日,410.4,399,422.4,393.1,405.06K,2.85%
2016年3月13日,408.7,410.4,419.6,402.1,324.33K,-0.41%
2016年3月20日,416.5,408.7,419.6,407.2,264.86K,1.91%
2016年3月27日,418.5,416.5,427.4,406.4,328.93K,0.48%
2016年4月3日,418,418.5,423.7,412.4,242.22K,-0.11%
2016年4月10日,430,418,432,416.7,269.29K,2.87%
2016年4月17日,450.1,430,451.5,423.8,333.40K,4.66%
2016年4月24日,448.5,450.1,468.9,433.9,476.55K,-0.34%
2016年5月1日,458.5,448.5,461.5,440.2,326.08K,2.21%
2016年5月8日,456.4,458.5,464.2,446.8,277.91K,-0.44%
2016年5月15日,443.6,456.4,460.3,435.4,255.85K,-2.80%
2016年5月22日,524.2,443.6,531.8,436.9,459.13K,18.16%
2016年5月29日,572,524.2,592.7,493.2,663.12K,9.10%
2016年6月5日,591.6,572,592.6,543.6,398.83K,3.44%
2016年6月12日,753.8,591.6,776,592.8,1.21M,27.41%
2016年6月19日,663.5,753.8,765.1,539.3,1.18M,-11.97%
2016年6月26日,698.1,663.5,700.5,609.9,593.43K,5.21%
2016年7月3日,651.8,698.1,701.5,605,590.38K,-6.62%
2016年7月10日,660.7,651.8,673.2,636.8,309.16K,1.36%
2016年7月17日,655.2,660.7,680.9,645.7,285.32K,-0.84%
2016年7月24日,654.7,655.2,664.2,643.5,217.98K,-0.06%
2016年7月31日,586.5,654.7,654.9,471.4,444.48K,-10.43%
2016年8月7日,584.6,586.5,600.5,580.9,211.25K,-0.32%
2016年8月14日,582.6,584.6,585.8,559.3,216.33K,-0.34%
2016年8月21日,570.3,582.6,591.9,567.3,180.45K,-2.10%
2016年8月28日,598.8,570.3,705,569.2,177.29K,5.00%
2016年9月4日,624.5,598.8,629.3,590.8,190.28K,4.29%
2016年9月11日,607.1,624.5,630.8,592.8,176.68K,-2.79%
2016年9月18日,602.6,607.1,612.4,591.7,158.87K,-0.74%
2016年9月25日,613.4,602.6,615,598.2,151.47K,1.80%
2016年10月2日,617.7,613.4,619.6,606.5,154.85K,0.69%
2016年10月9日,637,617.7,642.5,612.8,190.80K,3.14%
2016年10月16日,655.5,637,659.9,624.1,186.59K,2.90%
2016年10月23日,715,655.5,720.2,645.7,279.12K,9.07%
2016年10月30日,702.1,715,744.4,670.4,351.15K,-1.80%
2016年11月6日,704.3,702.1,741.2,697.6,253.50K,0.31%
2016年11月13日,747.9,704.3,755.3,685,322.97K,6.19%
2016年11月20日,734.1,747.9,754,712.8,250.91K,-1.84%
2016年11月27日,764.2,734.1,779,727.1,283.01K,4.10%
2016年12月4日,774,764.2,777,746,209.60K,1.28%
2016年12月11日,787.2,774,791.6,763,181.20K,1.70%
2016年12月18日,891.1,787.2,920.5,783.8,358.58K,13.20%
2016年12月25日,963.4,891.1,982.6,851.4,367.77K,8.11%
2017年1月1日,888.9,963.4,"1,150.60",806.7,1.65M,-7.73%
2017年1月8日,819.6,888.9,936.1,739.5,641.94K,-7.79%
2017年1月15日,919.8,819.6,928.9,808.6,346.77K,12.23%
2017年1月22日,918.5,919.8,938.4,883.6,256.52K,-0.14%
2017年1月29日,"1,031.80",918.5,"1,041.00",911.5,282.01K,12.34%
2017年2月5日,"1,008.30","1,031.80","1,073.00",924.7,404.97K,-2.28%
2017年2月12日,"1,052.30","1,008.30","1,063.20",975.1,219.71K,4.36%
2017年2月19日,"1,149.10","1,052.30","1,211.70","1,037.70",373.70K,9.20%
2017年2月26日,"1,264.30","1,149.10","1,291.30","1,130.60",352.15K,10.03%
2017年3月5日,"1,179.20","1,264.30","1,330.40",988.7,563.14K,-6.73%
2017年3月12日,971.4,"1,179.20","1,260.20",940.2,700.54K,-17.63%
2017年3月19日,966.3,971.4,"1,125.50",890.4,691.92K,-0.52%
2017年3月26日,"1,086.10",966.3,"1,103.70",946.7,542.07K,12.40%
2017年4月2日,"1,180.80","1,086.10","1,201.60","1,074.20",495.23K,8.72%
2017年4月9日,"1,177.00","1,180.80","1,229.60",841.5,309.20K,-0.32%
2017年4月16日,"1,240.90","1,177.00","1,257.00","1,166.70",301.86K,5.43%
2017年4月23日,"1,336.30","1,240.90","1,356.20","1,223.10",364.25K,7.69%
2017年4月30日,"1,545.30","1,336.30","1,609.80","1,309.70",609.50K,15.64%
2017年5月7日,"1,763.70","1,545.30","1,864.80","1,495.20",689.31K,14.14%
2017年5月14日,"2,040.20","1,763.70","2,048.40","1,653.70",552.75K,15.67%
2017年5月21日,"2,052.40","2,040.20","2,781.80","1,868.60",1.18M,0.60%
2017年5月28日,"2,545.40","2,052.40","2,582.80","2,051.10",732.63K,24.02%
2017年6月4日,"2,900.30","2,545.40","2,931.20","2,478.20",710.05K,13.94%
2017年6月11日,"2,655.10","2,900.30","2,985.10","2,125.60",1.07M,-8.45%
2017年6月18日,"2,590.10","2,655.10","2,804.40","2,488.60",623.37K,-2.45%
2017年6月25日,"2,424.60","2,590.10","2,660.70","2,309.60",737.13K,-6.39%
2017年7月2日,"2,564.90","2,424.60","2,658.70","2,375.90",526.68K,5.78%
2017年7月9日,"1,975.10","2,564.90","2,576.70","1,974.00",777.01K,-22.99%
2017年7月16日,"2,836.50","1,975.10","2,932.80","1,809.00",1.35M,43.62%
2017年7月23日,"2,733.50","2,836.50","2,856.70","2,441.50",859.86K,-3.63%
2017年7月30日,"3,262.80","2,733.50","3,344.00","2,621.70",675.09K,19.36%
2017年8月6日,"3,871.60","3,262.80","3,967.30","3,166.50",644.93K,18.66%
2017年8月13日,"4,150.50","3,871.60","4,487.50","3,837.10",997.13K,7.20%
2017年8月20日,"4,352.30","4,150.50","4,461.70","3,612.20",628.02K,4.86%
2017年8月27日,"4,573.80","4,352.30","4,976.50","4,195.20",622.35K,5.09%
2017年9月3日,"4,335.10","4,573.80","4,719.80","4,004.60",870.55K,-5.22%
2017年9月10日,"3,698.90","4,335.10","4,387.80","2,979.90",1.43M,-14.68%
2017年9月17日,"3,788.00","3,698.90","4,122.80","3,485.80",781.52K,2.41%
2017年9月24日,"4,360.60","3,788.00","4,383.30","3,633.90",588.23K,15.12%
2017年10月1日,"4,435.80","4,360.60","4,477.40","4,143.40",443.24K,1.72%
2017年10月8日,"5,824.70","4,435.80","5,852.80","4,419.40",805.69K,31.31%
2017年10月15日,"6,006.60","5,824.70","6,187.20","5,114.90",670.51K,3.12%
2017年10月22日,"5,726.60","6,006.60","6,070.60","5,375.60",722.59K,-4.66%
2017年10月29日,"7,363.80","5,726.60","7,492.20","5,679.40",976.41K,28.59%
2017年11月5日,"6,339.90","7,363.80","7,869.10","6,197.90",1.07M,-13.91%
2017年11月12日,"7,780.90","6,339.90","8,000.20","5,493.60",1.00M,22.73%
2017年11月19日,"8,754.70","7,781.00","8,762.00","7,675.40",551.27K,12.51%
2017年11月26日,"10,912.70","8,754.60","11,417.80","8,746.60",919.63K,24.65%
2017年12月3日,"14,843.40","10,912.70","17,294.80","10,578.40",1.26M,36.02%
2017年12月10日,"19,345.50","14,840.00","19,587.70","13,031.00",1.02M,30.33%
2017年12月17日,"14,396.50","19,346.60","19,870.60","10,875.70",1.46M,-25.58%
2017年12月24日,"12,531.50","14,396.60","16,514.60","11,962.10",1.04M,-12.95%
2017年12月31日,"17,172.30","12,532.40","17,252.80","12,359.40",770.83K,37.03%
2018年1月7日,"14,292.20","17,174.50","17,184.80","13,048.30",691.25K,-16.77%
2018年1月14日,"12,858.90","14,291.90","14,446.10","12,858.90",1.39M,-10.03%
2018年1月21日,"11,467.50","12,857.10","12,860.20","10,056.60",1.33M,-10.82%
2018年1月28日,"9,241.10","11,471.20","12,112.70","7,915.80",1.89M,-19.41%
2018年2月4日,"8,559.60","9,241.50","9,382.10","8,559.60",3.00M,-7.37%
2018年2月11日,"11,073.50","8,559.70","11,095.90","7,843.70",1.64M,29.37%
2018年2月18日,"9,704.30","11,073.70","11,791.50","9,394.50",1.93M,-12.36%
2018年2月25日,"11,402.30","9,703.10","11,420.70","9,330.10",1.41M,17.50%
2018年3月4日,"8,762.00","11,402.80","11,506.90","8,351.00",1.66M,-23.16%
2018年3月11日,"7,874.90","8,732.20","9,892.20","7,691.70",1.84M,-10.12%
